"country","province","points","price","variety"
"US","California",96,235,"Cabernet Sauvignon"
"US","California",96,90,"Sauvignon Blanc"
"US","Oregon",96,65,"Pinot Noir"
"US","Oregon",95,65,"Pinot Noir"
"US","California",95,60,"Pinot Noir"
"US","Oregon",95,48,"Pinot Noir"
"US","Oregon",95,48,"Pinot Noir"
"US","Oregon",95,185,"Pinot Noir"
"US","Oregon",95,90,"Chardonnay"
"US","California",95,325,"Cabernet Sauvignon"
"Spain","Northern Spain",95,80,"Tempranillo"
"France","Southwest France",95,290,"Malbec"
"US","California",95,75,"Pinot Noir"
"US","California",95,24,"Rosé"
"US","California",95,60,"Chardonnay"
"US","California",95,45,"Pinot Noir"
"New Zealand","Kumeu",94,57,"Chardonnay"
"US","Oregon",94,62,"Pinot Noir"
"US","Oregon",94,105,"Pinot Noir"
"US","California",94,60,"Pinot Noir"
"US","Washington",94,60,"Syrah"
"US","California",90,37,"Chardonnay"
"US","Washington",90,42,"Chardonnay"
"Italy","Tuscany",90,135,"Sangiovese"
"Italy","Tuscany",90,29,"Sangiovese"
"Italy","Tuscany",90,23,"Sangiovese"
"Italy","Tuscany",90,29,"Red Blend"
"Italy","Tuscany",90,39,"Red Blend"
"France","Rhône Valley",90,69,"Syrah"
"Italy","Tuscany",90,30,"Red Blend"
"Italy","Tuscany",90,90,"Sangiovese"
"US","California",90,60,"Cabernet Sauvignon"
"Italy","Tuscany",90,50,"Sangiovese"
"US","Washington",90,40,"Cabernet Sauvignon"
"Italy","Tuscany",90,100,"Sangiovese"
"France","Burgundy",90,68,"Chardonnay"
"France","Loire Valley",90,42,"Sauvignon Blanc"
"France","Loire Valley",90,28,"Pinot Noir"
"US","California",90,18,"Chardonnay"
"US","Washington",90,69,"Cabernet Sauvignon"
"US","New York",90,25,"Riesling"
"Italy","Tuscany",90,60,"Red Blend"
"Argentina","Mendoza Province",91,30,"Malbec"
"Australia","Victoria",91,36,"Pinot Noir"
"Argentina","Mendoza Province",91,25,"Malbec"
"France","Burgundy",91,45,"Chardonnay"
"US","California",91,36,"Syrah"
"France","Burgundy",91,38,"Chardonnay"
"US","California",91,85,"Cabernet Sauvignon"
"US","Oregon",91,50,"Pinot Noir"
"US","California",91,60,"Cabernet Sauvignon"
"US","California",91,85,"Cabernet Sauvignon"
"US","California",91,45,"Pinot Noir"
"US","Oregon",91,54,"Pinot Noir"
"France","Champagne",91,85,"Chardonnay"
"US","California",91,38,"Sauvignon Blanc"
"US","California",91,28,"Cabernet Sauvignon"
"US","Oregon",91,42,"Pinot Noir"
"Israel","Upper Galilee",91,25,"Cabernet Sauvignon"
"France","Burgundy",91,45,"Chardonnay"
"US","California",91,22,"Cabernet Sauvignon"
"US","California",91,65,"Pinot Noir"
"US","California",86,10,"Cabernet Sauvignon"
"US","California",86,13,"Chardonnay"
"US","California",86,18,"Chardonnay"
"US","California",86,36,"Cabernet Sauvignon"
"US","California",86,50,"Cabernet Sauvignon"
"Italy","Tuscany",86,45,"Sangiovese"
"US","California",86,10,"Chardonnay"
"US","California",86,13,"White Blend"
"US","California",86,45,"Chardonnay"
"Argentina","Mendoza Province",86,12,"Rosé"
"US","California",86,125,"Cabernet Sauvignon"
"US","New York",86,25,"Riesling"
"South Africa","Stellenbosch",86,20,"Sauvignon Blanc"
"Argentina","Mendoza Province",86,15,"Malbec"
"France","Southwest France",86,20,"Rosé"
"US","California",91,59,"Pinot Noir"
"US","California",91,49,"Pinot Noir"
"US","California",91,93,"Chardonnay"
"US","California",91,32,"Pinot Noir"
"US","California",91,20,"Pinot Noir"
